track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_name,popularity,album_name,album_type,release_date,track_url
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703.0,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4,Jung Kook,83.0,GOLDEN,album,2023-11-03,https://open.spotify.com/track/2HRgqmZQC0MC7GeNuDIXHN
LALA,Myke Towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,,,,,,
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,Olivia Rodrigo,84.0,GUTS,album,2023-09-08,https://open.spotify.com/track/1kuGVB7EU95pJObxwvfwKS
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,Taylor Swift,89.0,Lover,album,2019-08-23,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322.0,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,Bad Bunny,76.0,WHERE SHE GOES,single,2023-05-18,https://open.spotify.com/track/7ro0hRteUMfnOioTFI5TG1
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234.0,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24,Dave,81.0,Sprinter,single,2023-06-01,https://open.spotify.com/track/2FDTHlrBguDzQkp7PVj16Q
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112.0,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3,Eslabon Armado,77.0,Ella Baila Sola,single,2023-03-16,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb
Columbia,Quevedo,1,2023,7,7,714,43,58149378.0,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,Quevedo,81.0,Columbia,single,2023-07-07,https://open.spotify.com/track/6XbtvPmIpyCbjuT0e8cQtp
fukumean,Gunna,1,2023,5,15,1096,83,95217315.0,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,Gunna,82.0,a Gift & a Curse,album,2023-06-16,https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067.0,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33,Yng Lvcas,78.0,La Bebe (Remix),single,2023-03-17,https://open.spotify.com/track/2UW7JaomAMuX9pZrjVpHAU
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438.0,41,205,54,12,251,83,F#,Minor,57,56,72,23,0,27,5,Grupo Frontera,77.0,un x100to,single,2023-04-17,https://open.spotify.com/track/6pD0ufEQq0xdHSsRbg9LBK
Super Shy,NewJeans,1,2023,7,7,422,55,58255150.0,37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7,NewJeans,78.0,NewJeans 'Super Shy',single,2023-07-07,https://open.spotify.com/track/5sdQOyqq2IDhvmx2lHOpwd
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,n/a,Major,71,65,68,6,0,3,7,Miley Cyrus,88.0,Endless Summer Vacation,album,2023-08-18,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0
Daylight,David Kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,David Kushner,72.0,The Dichotomy,album,2024-08-30,https://open.spotify.com/track/5OGZ2Mx4Cs6RCndDRycGBJ
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,0,174,F#,Minor,52,66,73,34,0,31,6,Harry Styles,88.0,Harry's House,album,2022-05-20,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,SZA,79.0,SOS,album,2022-12-09,https://open.spotify.com/track/3OHfY25tqY28d16oZczHc8
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686.0,91,212,78,6,0,120,B,Minor,78,76,59,43,0,34,3,,,,,,
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883.0,80,227,95,24,"1,173",78,n/a,Major,44,14,9,96,0,10,3,Billie Eilish,87.0,"What Was I Made For? [From The Motion Picture ""Barbie""]",single,2023-07-13,https://open.spotify.com/track/6wf7Yu7cxBSPrRlWeSeK0Q
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234.0,43,100,54,14,187,100,B,Major,86,67,66,14,0,12,16,,,,,,
Like Crazy,Jimin,1,2023,3,24,596,68,363369738.0,8,104,23,2,29,120,G,Major,63,36,73,0,0,36,4,Jimin,75.0,FACE,single,2023-03-24,https://open.spotify.com/track/3Ua0m0YmEjrMi9XErKcNiR
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842.0,11,163,10,4,0,140,F,Minor,65,87,74,22,0,42,4,Peso Pluma,79.0,GÉNESIS,album,2023-06-29,https://open.spotify.com/track/7mXuWTczZNxG5EDcjFEuJR
